Serial Number,Start Time,Event Type,Bump?,H2S Peak (ppm),CO Peak (ppm),O2 Peak (%Vol),LEL Peak (%LEL),Duration,Device Status,
KA418-1128141,2018-04-26 14:38:49,Multi Alarm ,No,19.0,86.0,--,45.1,9,Active,
KA418-1128141,2018-04-26 15:15:07,Multi Alarm ,No,17.9,84.0,--,45.4,8,Active,
KA418-1128141,2018-04-26 16:15:20,Multi Alarm ,No,16.8,81.5,--,41.1,7,Active,
KA418-1128141,2018-04-26 16:27:35,Multi Alarm ,No,18.6,87.6,--,45.2,9,Active,
KA418-1128141,2018-04-25 17:25:24,Multi Alarm ,No,18.2,85.2,--,44.6,8,Active,
KA418-1128141,2018-04-25 17:34:26,Multi Alarm ,No,18.4,86.1,--,44.7,8,Active,
KA418-1128141,2018-04-25 17:52:25,Multi Alarm ,No,16.8,84.3,--,50.0,8,Active,
KA418-1128141,2018-04-26 11:11:36,Multi Alarm ,No,16.8,85.0,--,44.7,9,Active,
KA418-1128141,2018-04-26 11:47:44,Multi Alarm ,No,17.0,84.0,--,45.2,8,Active,
KA418-1128141,2018-04-26 14:02:35,Multi Alarm ,No,16.5,85.1,--,44.4,8,Active,
KA418-1128141,2018-05-03 13:50:29,Multi Alarm ,No,4.2,69.3,--,31.6,7,Active,
KA418-1128141,2018-05-03 13:51:20,Multi Alarm ,No,4.6,23.3,19.9,11.9,16,Active,
KA418-1128141,2018-05-03 13:53:34,Multi Alarm ,No,12.6,90.6,--,43.7,9,Active,
KA418-1128141,2018-05-03 14:05:50,Multi Alarm ,No,17.2,89.5,--,44.6,8,Active,
KA418-1128141,2018-05-03 14:17:09,Low Alarm ,No,0.0,0.0,20.1,0.0,1,Active,
KA418-1128141,2018-05-03 14:18:08,Multi Alarm ,No,20.0,90.3,--,45.1,8,Active,
KA418-1128141,2018-05-03 14:30:56,Multi Alarm ,No,20.4,93.0,--,45.4,9,Active,
KA418-1128141,2018-05-03 14:44:14,Multi Alarm ,No,18.1,90.4,--,45.3,9,Active,
KA418-1128141,2018-05-03 14:56:45,Multi Alarm ,No,19.8,91.3,--,44.8,8,Active,
KA418-1128141,2018-05-03 15:09:02,Multi Alarm ,No,17.4,90.4,--,45.1,8,Active,
KA418-1128141,2018-05-03 16:51:15,Low Alarm ,No,0.0,0.0,20.1,0.0,3,Active,
KA418-1128160,2018-05-04 15:31:19,High Alarm ,No,0.0,0.0,--,9999.9,98,Active,
KA418-1128160,2018-05-04 15:34:18,High Alarm ,No,0.0,0.0,--,9999.9,44,Active,
KA418-1128160,2018-05-04 15:35:49,High Alarm ,No,0.0,0.0,--,9999.9,194,Active,
KA418-1128160,2018-05-04 15:20:05,High Alarm ,No,0.0,13.2,20.9,9999.9,83,Active,
KA418-1128160,2018-05-04 15:23:29,Multi Alarm ,No,0.0,0.0,16.1,18.9,56,Active,
KA418-1128160,2018-05-04 15:25:16,Low Alarm ,No,0.0,0.0,20.9,18.5,10,Active,
KA418-1128160,2018-05-04 15:26:20,High Alarm ,No,0.0,0.0,20.9,9999.9,21,Active,
KA418-1128160,2018-05-04 15:27:36,High Alarm ,No,0.0,0.0,--,9999.9,64,Active,
KA418-1128160,2018-05-04 15:29:15,High Alarm ,No,0.0,0.0,20.9,9999.9,19,Active,
KA418-1128160,2018-05-04 15:30:42,High Alarm ,No,0.0,0.0,20.9,9999.9,17,Active,
KA418-1128809,2018-05-09 11:16:14,Multi Alarm ,Yes,0.0,0.0,23.5,-9999.9,23,Active,
KA418-1128809,2018-05-09 11:19:01,Low Alarm ,No,8.1,31.6,20.9,12.1,1,Active,
KA418-1128809,2018-05-09 11:27:02,Low Alarm ,Yes,21.2,99.0,18.5,49.0,9,Active,
KA418-1128809,2018-05-09 11:32:29,Low Alarm ,Yes,24.0,99.0,18.2,49.0,138,Active,
KA418-1128809,2018-05-09 11:37:07,Multi Alarm ,No,24.0,99.0,18.1,49.0,203,Active,
