Serial Number,Start Time,Remaining Seconds,Device's Remaining Lifetime,Event Type,Channel,Duration,H2S Peak (ppm),CO Peak (ppm),O2 Peak (%Vol),LEL Peak (%LEL),H2S TWA,H2S STEL,CO TWA,CO STEL,Start Time in UTC,Temperature,Battery Voltage in Alarm,Firmware Version,H2S Low Alarm Pt,H2S High Alarm Pt,H2S TWA Alarm Pt,H2S STEL Alarm Pt,CO Low Alarm Pt,CO High Alarm Pt,CO Twa Alarm Pt,CO STEL Alarm Pt,O2 Low Alarm Pt,O2 High Alarm Pt,LEL Low alarm Pt,LEL High Alarm Pt,O2 Low Trigger,O2 High Trigger,Total Self Tests,Total event time(seconds),Total Event Count,Number of event transfered,Device Status
KO20BC401163500013,2017-03-17 23:31,Calibrating Auto Zeroing Reserved Battery Low Multi Alarm Low Alarm ,,1259.3,1311,1234.1,1233.6,13105,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1993-08-29 4:37,Reserved Battery Low TWA Alarm Down-scale Alarm ,,100,1000,1000,1000,10000,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1992-10-29 18:37,Down-scale Alarm ,,60,25.8,-3049.6,-3113.9,19304,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-10-16 12:23,Calibrating Battery Low Multi Alarm High Alarm Low Alarm TWA Alarm Down-scale Alarm ,,7,-1172.5,-1141.1,1701.9,54125,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-01 16:10,Battery Low Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,0,19.5,0,0.9,68,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2107-06-26 1:50,Calibrating Battery Low STEL Alarm TWA Alarm Down-scale Alarm ,,94.3,0.4,2.6,299.5,54126,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-10-27 1:44,Low Alarm TWA Alarm ,,179.2,15.6,145,4.4,90,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-11-17 8:57,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,134.5,-973.6,94.3,23.6,26,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-05 4:11,Reserved Battery Low TWA Alarm ,,-1140.3,1697.9,102.4,0,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-09 5:56,Low Alarm ,,7.6,7.9,77.7,-1016.8,943,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1997-10-20 10:12,Auto Zeroing Reserved Battery Low Multi Alarm High Alarm Low Alarm STEL Alarm ,,-1140.3,1699.1,-1140.3,1699.1,3840,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-11-05 6:57,Multi Alarm High Alarm Low Alarm STEL Alarm ,,28.6,1.5,12.9,23.1,2168,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1992-06-12 5:12,Calibrating Battery Low Down-scale Alarm ,,2.6,299.5,-1138.8,1696.1,54148,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-01 16:10,Reserved Battery Low Low Alarm STEL Alarm Down-scale Alarm ,,0,19.4,0,1.6,137,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2105-03-27 8:51,Calibrating Battery Low High Alarm Down-scale Alarm ,,94.3,1.2,2.6,299.5,54148,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-03 15:47,High Alarm STEL Alarm TWA Alarm ,,384,71.3,659,15.7,418,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1992-05-31 19:55,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,383.7,-1082.6,94.3,47,26,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-11 5:50,High Alarm STEL Alarm TWA Alarm Down-scale Alarm ,,-1137.6,1698.7,102.4,0,60,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-21 9:12,Battery Low Multi Alarm Low Alarm TWA Alarm ,,22.9,31.4,295.5,-1155.6,943,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1997-10-20 10:12,,,-1137.4,1701.3,-1137.4,1701.3,1024,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-12-25 7:10,Calibrating Battery Low Low Alarm TWA Alarm ,,0,2.6,22.9,31.2,2950,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-25 22:42,Calibrating Battery Low Multi Alarm High Alarm Down-scale Alarm ,,2.6,299.5,-1136.8,1700.9,54168,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1993-07-02 13:52,Auto Zeroing Reserved Battery Low TWA Alarm Down-scale Alarm ,,847,18.9,52.4,4,359,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2102-08-23 18:20,Calibrating Battery Low Multi Alarm High Alarm Low Alarm TWA Alarm Down-scale Alarm ,,94.3,51.2,2.6,299.5,54182,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-12-05 12:23,Multi Alarm Low Alarm ,,102.4,3.9,32,1.7,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-11-12 1:35,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,132.5,-1290.8,94.3,38.6,26,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-10-24 0:56,Reserved Battery Low TWA Alarm Down-scale Alarm ,,-1134.3,1696.3,102.4,0,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-09-01 0:04,STEL Alarm TWA Alarm ,,36.4,1.8,13.3,-1351.2,943,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1997-10-20 10:12,Battery Low Multi Alarm Low Alarm STEL Alarm Down-scale Alarm ,,-1134.3,1697.3,-1134.3,1697.3,1792,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
