SN,Start Time,Start Time in UTC,Event Type,Channel,H2S Peak (ppm),CO Peak (ppm),O2 Peak (%Vol),LEL Peak (%LEL),H2S TWA,CO TWA,H2S STEL,CO STEL,Life time,Event Duration,Temperature,Battery Voltage,H2S Low Alarm Pt,H2S High Alarm Pt,H2S TWA Alarm Pt,H2S STEL Alarm Pt,CO Low Alarm Pt,CO High Alarm Pt,CO TWA Alarm Pt,CO STEL Alarm Pt,O2 Low Alarm Pt,O2 High Alarm Pt,LEL Low Alarm Pt,LEL High Alarm Pt,O2 Low AL Trigger,O2 High AL Trigger,Remaining Life Time,
XXXXBC4PP16WW00022,16/10/11 20:28:32,16/10/11 20:28:32,3 : Zero Cal Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,0,0.9,1,0,0,0,0,0,62391794,20,28,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 20:28:53,16/10/11 20:28:53,4 : Calibration Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,56.1,7.2,465.9,0.1,0,0,0,0,62391794,137,28,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 20:32:58,16/10/11 20:32:58,3 : Zero Cal Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,0.2,1.1,1,1.8,0,0,0,0,62391529,20,27,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 20:33:19,16/10/11 20:33:19,7 : Calibration Fail;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,56.1,7.2,465.3,0.1,0,0,0,0,62391529,29,27,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 20:34:45,16/10/11 20:34:45,3 : Zero Cal Pass;,Channel 3 (O2) ,0.2,1.1,1,1.8,0,0,0,0,62391529,15,27,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 20:34:45,16/10/11 20:34:45,6 : Zero Fail;,Channel 1 (H2S) Channel 2 (CO) Channel 4 (LEL) ,2.9,11.3,10,18,0,0,0,0,62391529,15,27,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 20:35:1,16/10/11 20:35:1,7 : Calibration Fail;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,56.1,7.2,421.8,0.1,0,0,0,0,62391529,121,27,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 20:42:2,16/10/11 20:42:2,3 : Zero Cal Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,0.3,1,1,1.2,0,0,0,0,62390987,20,27,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 20:47:32,16/10/11 20:47:32,4 : Calibration Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,57,7.1,463.1,0.1,0,0,0,0,62390987,122,27,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 20:50:54,16/10/11 20:50:54,3 : Zero Cal Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,0.4,1.4,1,0,0,0,0,0.1,62390453,20,27,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 20:53:4,16/10/11 20:53:4,7 : Calibration Fail;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,57,7.1,461.4,0.1,0,0,0,0.1,62390453,30,27,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 20:54:10,16/10/11 20:54:10,3 : Zero Cal Pass;,Channel 3 (O2) ,0.4,1.4,1,0,0,0,0,0.1,62390453,16,27,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 20:54:10,16/10/11 20:54:10,6 : Zero Fail;,Channel 1 (H2S) Channel 2 (CO) Channel 4 (LEL) ,4.7,14.1,10,0,0,0,0,0.1,62390453,16,27,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 20:54:27,16/10/11 20:54:27,7 : Calibration Fail;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,57,7.1,417.3,0.1,0,0,0,0.1,62390453,121,27,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 22:19:47,16/10/11 22:19:47,4 : Calibration Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,58.2,7.2,462.5,0.1,0,0,0,0.1,62385118,209,27,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 22:23:46,16/10/11 22:23:46,2 : Bump Test Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,23.5,81.8,18.1,61,0,0,0,0.1,62384894,98,26,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 22:25:36,16/10/11 22:25:36,3 : Zero Cal Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,0.4,1.3,1,1.8,0,0,0,0.2,62384771,19,26,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 22:26:33,16/10/11 22:26:33,4 : Calibration Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,58.5,7.1,463.5,0.1,0,0,0,0.2,62384712,228,26,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 22:31:31,16/10/11 22:31:31,5 : Bump Test Fail;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,21.5,73.9,18.2,59.4,0,0,0,0.3,62384469,92,26,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 22:33:25,16/10/11 22:33:25,6 : Zero Fail;,Channel 1 (H2S) Channel 4 (LEL) ,3,32,10,0,0,0,0,0.3,62384312,14,25,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 22:33:52,16/10/11 22:33:52,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,23.5,71,22.4,46.2,0,0,0.3,1.5,62384266,36,25,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 22:36:29,16/10/11 22:36:29,7 : Calibration Fail;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,58.5,7.1,460.7,0.1,0,0,0.3,1.5,62384116,131,25,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 22:55:12,16/10/11 22:55:12,2 : Bump Test Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,23.2,80.5,18.2,61.6,0,0,0,0,62383512,100,25,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 22:58:14,16/10/11 22:58:14,3 : Zero Cal Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,0.2,1,1,0,0,0,0,0,62382883,19,25,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/11 22:59:11,16/10/11 22:59:11,4 : Calibration Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,58.9,7.1,462.8,0.1,0,0,0,0,62382754,219,24,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/12 1:26:34,16/10/12 1:26:34,8 : FW Update Fail;,,0,0,0,0,0,0,0,0,62373930,0,0,0,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/12 1:41:7,16/10/12 1:41:7,3 : Zero Cal Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,0.2,0.9,1,0,0,0,0,0,62373184,20,26,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/12 1:41:29,16/10/12 1:41:29,4 : Calibration Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,54.8,7.1,462.8,0.1,0,0,0,0,62373184,134,26,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/12 1:45:45,16/10/12 1:45:45,2 : Bump Test Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,23.2,79.9,18.1,61,0,0,0,0.1,62372903,0,26,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/12 1:48:9,16/10/12 1:48:9,4 : Calibration Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,56.2,7,461.5,0.1,0,0,0,0.3,62372759,221,26,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/12 1:52:18,16/10/12 1:52:18,2 : Bump Test Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,23.7,81,18.2,60,0,0,0,0.3,62372523,106,26,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
XXXXBC4PP16WW00022,16/10/12 1:54:22,16/10/12 1:54:22,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,24.7,98,18,60.2,0,0,2.6,10.4,62372379,122,26,2995,10,15,10,15,35,200,35,50,19.5,23.5,10,20,Falling,Rising,1051200,
KO20BC401163600096,16/9/20 16:57:43,16/9/20 16:57:43,3 : Zero Cal Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,1.4,1.1,1,0,0,0,0,0,63071891,19,41,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/20 21:10:27,16/9/20 21:10:27,3 : Zero Cal Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,1.1,1.6,1,0,0,0,0,0.9,63057068,19,20,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/20 23:43:5,16/9/20 23:43:5,0 : Alarm(Low/High/-OL/OL);,Channel 4 (LEL) ,0,0,20.9,80.6,0,0,0.1,0,63047553,1178,11,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/22 15:25:22,16/9/22 15:25:22,0 : Alarm(Low/High/-OL/OL);,Channel 4 (LEL) ,0,0,20.9,25,0,0,0.1,0,62904616,842,12,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/23 13:26:40,16/9/23 13:26:40,4 : Calibration Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,50.5,8.2,431.5,0.1,0,0,0,0,62825420,65535,22,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/23 13:29:30,16/9/23 13:29:30,2 : Bump Test Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,23.1,89.3,18.4,40.8,0,0,0,0,62825420,65535,22,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/23 13:34:13,16/9/23 13:34:13,0 : Alarm(Low/High/-OL/OL);,Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,5.3,95,18.3,62,0,0,0.2,5.9,62824906,72,22,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/23 13:39:43,16/9/23 13:39:43,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,27.5,110,18.1,62,0,0.3,3.3,19.3,62824576,126,22,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/23 13:52:48,16/9/23 13:52:48,4 : Calibration Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,56.1,8.9,431.3,0.1,0.1,0.6,3.2,14.4,62823819,65535,22,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/23 14:9:16,16/9/23 14:9:16,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,25.1,101,18.1,62,0.1,0.6,3,12,62822802,124,22,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/23 14:11:22,16/9/23 14:11:22,0 : Alarm(Low/High/-OL/OL);,Channel 4 (LEL) ,4.8,28,20.9,20,0.1,0.6,3,12,62822676,2,22,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/23 14:29:50,16/9/23 14:29:50,0 : Alarm(Low/High/-OL/OL);,Channel 2 (CO) ,7.4,35,19.8,18.8,0.2,1.4,3.2,15.8,62821568,2,21,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/23 14:29:58,16/9/23 14:29:58,0 : Alarm(Low/High/-OL/OL);,Channel 2 (CO) ,7.5,35,19.9,18.8,0.2,1.4,3.2,15.8,62821560,4,21,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/23 14:30:8,16/9/23 14:30:8,0 : Alarm(Low/High/-OL/OL);,Channel 2 (CO) ,7.7,35,19.8,18.8,0.2,1.4,3.4,16.5,62821550,6,21,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/23 14:30:18,16/9/23 14:30:18,0 : Alarm(Low/High/-OL/OL);,Channel 2 (CO) ,7.6,36,19.8,18.8,0.2,1.4,3.4,16.5,62821540,6,22,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/23 14:30:26,16/9/23 14:30:26,0 : Alarm(Low/High/-OL/OL);,Channel 2 (CO) ,7.7,36,19.9,19,0.2,1.4,3.7,18,62821532,30,22,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/23 14:30:58,16/9/23 14:30:58,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,21.8,103,17.9,54.8,6.8,32.4,21.4,100.6,62821500,10066,23,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/23 14:46:10,16/9/23 14:46:10,1 : Hygiene alarm (TWA or STEL);,Channel 1 (H2S) Channel 2 (CO) ,0,0,20.9,0,7,33,21.6,101,62820588,9660,23,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/26 10:22:50,16/9/26 10:22:50,2 : Bump Test Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,21.3,82.5,0,61.8,0,0,0,0,62577208,96,22,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/26 10:33:52,16/9/26 10:33:52,4 : Calibration Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,55.7,9,431.2,0.1,0,0,0,0.1,62576533,219,22,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/26 10:49:7,16/9/26 10:49:7,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,25.1,101,18.2,62,0,0,4.2,17.3,62575611,172,22,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/26 11:10:1,16/9/26 11:10:1,0 : Alarm(Low/High/-OL/OL);,Channel 2 (CO) ,7.2,35,19.9,16.2,0.2,0.9,3,15.6,62574357,4,22,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/26 11:10:11,16/9/26 11:10:11,0 : Alarm(Low/High/-OL/OL);,Channel 2 (CO) ,7.2,35,19.9,16.6,0.2,0.9,3.1,16.3,62574347,2,22,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/26 11:10:15,16/9/26 11:10:15,0 : Alarm(Low/High/-OL/OL);,Channel 2 (CO) ,7.4,35,19.9,16.8,0.2,0.9,3.1,16.3,62574343,6,22,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/26 11:10:25,16/9/26 11:10:25,0 : Alarm(Low/High/-OL/OL);,Channel 2 (CO) ,7.4,35,19.9,17,0.2,0.9,3.3,17,62574333,6,22,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/26 11:10:35,16/9/26 11:10:35,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,22,102,17.9,51.8,6.8,32.2,21.5,100.7,62574323,10046,24,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/26 11:26:31,16/9/26 11:26:31,1 : Hygiene alarm (TWA or STEL);,Channel 1 (H2S) Channel 2 (CO) ,0,0,20.9,0,6.9,33,21.8,101,62573367,9529,24,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/28 9:47:18,16/9/28 9:47:18,4 : Calibration Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,55.6,9,430.7,0.1,0,0,0,0,62406597,223,21,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/28 13:19:38,16/9/28 13:19:38,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,25.4,101,18.1,62,0.2,0.9,6.2,25.4,62393815,244,22,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/28 15:34:50,16/9/28 15:34:50,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,25.6,105,18.2,62,0.4,1.7,5.7,24.6,62385703,224,45,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/28 16:49:34,16/9/28 16:49:34,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,25.6,104,18.2,61.8,0.4,2.2,6.5,27,62381219,250,37,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/29 12:37:24,16/9/29 12:37:24,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,26.5,98,18.1,58.8,0.1,0.9,8.1,30.5,62309949,330,2,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/29 15:6:54,16/9/29 15:6:54,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,25.7,90,18.1,62.2,0.4,1.6,5.3,18.1,62300979,216,-7,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/30 18:9:35,16/9/30 18:9:35,7 : Calibration Fail;,Channel 2 (CO) ,54.8,9,431.5,0.1,0,0.6,0,0.2,62232486,223,22,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/30 18:20:59,16/9/30 18:20:59,4 : Calibration Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,54.4,8.7,428.1,0.1,0,0.7,0.9,6.3,62231802,223,23,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
KO20BC401163600096,16/9/30 18:30:39,16/9/30 18:30:39,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,20.7,86,18.6,62,0,0.8,1.8,10.6,62231187,38,24,2995,100,100,100,100,1000,1000,1000,1000,18,25,60,60,Falling,Rising,1051200,
