System Tick,UTC Time Stamp,Raw AD Ch #1,Raw AD Ch #2,Raw AD Ch #3,Raw AD Ch #4,Gas Conc Ch #1,Gas Conc Ch #2,Gas Conc Ch #3,Gas Conc Ch #4,H2S TWA Value,CO TWA Value,H2S STEL Value,CO STEL Value,Status Ch #1,Status Ch #2,Status Ch #3,Status Ch #4,MIPEX NTC AD,Remaining Life Time,Temperature,Battery Voltage,Reserved1,Reserved2,CRC,
246598,16/1/16 22:44:24,82,119,8090,0,-1.55,-5.47,20.93,0,0,0,0,0,6,6,6,0,0,58656308,19,2995,100,0,32708,
246599,16/1/16 22:44:25,82,116,8089,0,-1.55,-5.47,20.93,0,0,0,0,0,6,6,6,0,0,58656307,19,2995,100,0,42868,
246600,16/1/16 22:44:26,82,116,8089,0,-1.55,-6.35,20.93,0,0,0,0,0,6,6,6,0,0,58656306,19,2995,100,0,50083,
246601,16/1/16 22:44:27,83,115,8088,0,-1.55,-6.35,20.93,0,0,0,0,0,6,6,6,0,0,58656305,19,2995,100,0,25515,
246602,16/1/16 22:44:28,82,116,8088,0,-1.54,-6.41,20.93,0,0,0,0,0,6,6,6,0,0,58656304,19,2995,100,0,3968,
246603,16/1/16 22:44:29,81,115,8088,0,-1.54,-6.41,20.93,0,0,0,0,0,6,6,6,0,0,58656303,19,2995,100,0,35070,
246604,16/1/16 22:44:30,81,114,8089,0,-1.55,-6.41,20.93,0,0,0,0,0,6,6,6,0,0,58656302,19,2995,100,0,39549,
246606,16/1/16 22:44:31,81,115,8091,0,-1.55,-6.41,20.93,0,0,0,0,0,6,6,6,0,0,58656301,19,2995,100,0,9163,
246607,16/1/16 22:44:32,81,114,8092,0,-1.55,-6.41,20.94,0,0,0,0,0,6,6,6,0,0,58656300,19,2995,100,0,39519,
246609,16/1/16 22:44:34,82,113,8092,0,-1.55,-6.48,20.94,0,0,0,0,0,6,6,6,0,0,58656298,19,2995,100,0,31852,
246610,16/1/16 22:44:35,82,113,8091,0,-1.55,-6.48,20.94,0,0,0,0,0,6,6,6,0,0,58656297,19,2995,100,0,13839,
246615,16/1/16 22:44:40,82,113,8089,0,-1.55,-6.55,20.93,0,0,0,0,0,6,6,6,0,0,58656292,19,2995,100,0,2823,
246620,16/1/16 22:44:45,81,114,8090,0,-1.55,-6.62,21,0,0,0,0,0,6,6,6,0,0,58656287,18,2995,100,0,27766,
246625,16/1/16 22:44:50,82,114,8090,0,-1.55,-6.62,21,0,0,0,0,0,6,6,6,0,0,58656282,18,2995,100,0,205,
246630,16/1/16 22:44:55,82,116,8091,0,-1.55,-6.41,21,0,0,0,0,0,6,6,6,0,0,58656277,18,2995,100,0,56240,
246635,16/1/16 22:45:0,82,116,8091,0,-1.55,-6.41,21,0,0,0,0,0,6,6,6,0,0,58656272,18,2995,100,0,55500,
246641,16/1/16 22:45:5,82,116,8091,0,-1.55,-6.41,21,0,0,0,0,0,6,6,6,0,0,58656267,18,2995,100,0,22119,
246646,16/1/16 22:45:11,82,116,8091,0,-1.55,-6.41,21,0,0,0,0,0,6,6,6,0,0,58656261,18,2995,100,0,13958,
246652,16/1/16 22:45:16,82,116,8091,0,-1.55,-6.41,21,0,0,0,0,0,6,6,6,0,0,58656256,18,2995,100,0,39614,
246657,16/1/16 22:45:21,82,116,8091,0,-1.55,-6.41,21,0,0,0,0,0,6,6,6,0,0,58656251,18,2995,100,0,42142,
246662,16/1/16 22:45:26,82,116,8091,0,-1.55,-6.41,21,0,0,0,0,0,6,6,6,0,0,58656246,18,2995,100,0,54889,
246667,16/1/16 22:45:31,82,116,8091,0,-1.55,-6.41,21,0,0,0,0,0,6,6,6,0,0,58656241,18,2995,100,0,32232,
246672,16/1/16 22:45:36,82,116,8091,0,-1.55,-6.41,21,0,0,0,0,0,6,6,6,0,0,58656236,18,2995,100,0,3704,
246677,16/1/16 22:45:41,82,116,8091,0,-1.55,-6.41,21,0,0,0,0,0,6,6,6,0,0,58656231,18,2995,100,0,18997,
246682,16/1/16 22:45:46,82,116,8091,0,-1.55,-6.41,21,0,0,0,0,0,6,6,6,0,0,58656226,18,2995,100,0,1705,
246688,16/1/16 22:45:52,82,116,8091,0,-1.55,-6.41,21,0,0,0,0,0,6,6,6,0,0,58656220,18,2995,100,0,9258,
246694,16/1/16 22:45:57,82,116,8091,0,-1.55,-6.41,21,0,0,0,0,0,6,6,6,0,0,58656215,18,2995,100,0,24679,
246699,16/1/16 22:46:2,82,116,8091,0,-1.55,-6.41,21,0,0,0,0,0,6,6,6,0,0,58656210,18,2995,100,0,596,
