UTC Time Stamp,Local Time Stamp,Event Type,Channel,H2S Peak (ppm),CO Peak (ppm),O2 Peak (%Vol),LEL Peak (%LEL),H2S TWA,CO TWA,H2S STEL,CO STEL,Life time,Event Duration,Temperature,Battery Voltage,
18/9/14 9:13:54,18/9/14 9:13:54,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) ,0,0,21,0.4,0,0,0,0,18109752,31,28,2995,
18/9/14 9:20:3,18/9/14 9:20:3,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) ,0,0,21.1,0.6,0,0,0,0,18109413,1034,29,2995,
18/9/14 11:24:7,18/9/14 11:24:7,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) ,0,0,21.1,0,0,0,0,0,18102028,10,29,2995,
18/9/14 11:25:10,18/9/14 11:25:10,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) ,0,0,21,0.9,0,0,0,0,18101965,54,30,2995,
18/9/14 11:27:39,18/9/14 11:27:39,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) ,0,0,21,0.4,0,0,0,0,18101816,9,30,2995,
18/9/14 11:27:51,18/9/14 11:27:51,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) ,0,0,21,0.4,0,0,0,0,18101804,72,30,2995,
18/9/14 11:29:51,18/9/14 11:29:51,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) ,0,0,21,0.4,0,0,0,0,18101684,10,30,2995,
18/9/14 13:9:14,18/9/14 13:9:14,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) ,0,0,20.9,0,0,0,0,0,18095857,212,0,0,
18/9/14 13:25:27,18/9/14 13:25:27,8 : FW Update Fail;,,0,0,20.9,0,0,0,0,0,63071344,0,0,0,
18/9/14 13:36:29,18/9/14 13:36:29,8 : FW Update Fail;,,0,0,20.9,0,0,0,0,0,63070709,0,0,0,
18/9/20 11:0:31,18/9/20 11:0:31,0 : Alarm(Low/High/-OL/OL);,Channel 3 (O2) ,0,0,23.5,0,0,0,0,0,62561788,2,33,2995,
18/10/2 13:1:46,18/10/2 13:1:46,3 : Zero Cal Pass;,Channel 1 (H2S) Channel 2 (CO) Channel 3 (O2) Channel 4 (LEL) ,0.4,0.8,1,0,0,4.8,0,4.8,61517713,18,36,2995,
18/10/2 13:23:12,18/10/2 13:23:12,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) ,25,85,21.6,0.4,0,0,0,0.1,61516847,238,37,2995,
18/10/2 13:29:10,18/10/2 13:29:10,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) ,25,85,21.6,0.4,0,0,0,0.1,61516489,236,37,2995,
18/10/2 13:46:27,18/10/2 13:46:27,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) ,25,84,21.6,0,0,0,16.5,55.6,61515482,216,37,2995,
18/10/2 13:52:59,18/10/2 13:52:59,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) ,23,76,21.6,0,0,0,2.5,8.1,61515090,48,36,2995,
18/10/2 14:2:59,18/10/2 14:2:59,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) ,25,84,21.6,1.6,0.2,0.7,19.8,67.1,61514490,254,36,2995,
18/10/2 13:49:39,18/10/2 13:49:39,1 : Hygiene alarm (TWA or STEL);,Channel 1 (H2S) Channel 2 (CO) ,0,0,20.9,0,0,0,0,0,61515290,1194,36,2995,
18/10/10 17:15:57,18/10/10 17:15:57,9 : Config. Update Fail;,,0,0,20.9,0,0,0,0,0,60873563,0,28,2995,
18/10/11 9:57:49,18/10/11 9:57:49,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) ,0,0,21.5,0.4,0,0,0,0,60813571,26,34,2995,
18/10/11 10:11:20,18/10/11 10:11:20,0 : Alarm(Low/High/-OL/OL);,Channel 1 (H2S) Channel 2 (CO) ,0,0,21.5,0.4,0,0,0,0,60812819,14,34,2995,
